Tên xe,Giá niêm yết (VNĐ),Giá bán tham khảo (VNĐ),Xuất xứ,Niên hạn sử dụng (năm),Thời gian bảo hành
Toyota Vios,540000000,530000000,Lắp ráp trong nước,20,3 năm hoặc 100.000 km
Toyota Corolla Altis,750000000,735000000,Nhập khẩu Thái Lan,20,3 năm hoặc 100.000 km
Toyota Camry,1070000000,1050000000,Nhập khẩu Thái Lan,20,3 năm hoặc 100.000 km
Toyota Fortuner,1100000000,1090000000,Lắp ráp trong nước,20,3 năm hoặc 100.000 km
Toyota Innova,875000000,860000000,Lắp ráp trong nước,20,3 năm hoặc 100.000 km
Toyota Hilux,850000000,830000000,Nhập khẩu Thái Lan,20,3 năm hoặc 100.000 km
Toyota Land Cruiser Prado,2600000000,2580000000,Nhập khẩu Nhật Bản,20,3 năm hoặc 100.000 km
Toyota Raize,555000000,545000000,Nhập khẩu Indonesia,20,3 năm hoặc 100.000 km
Toyota Yaris,685000000,670000000,Nhập khẩu Thái Lan,20,3 năm hoặc 100.000 km
Toyota Alphard,4300000000,4250000000,Nhập khẩu Nhật Bản,20,3 năm hoặc 100.000 km
